Date,Price,Open,High,Low,Volume,Chg%
17-Jan-20,71.079,70.953,71.099,70.933,6.69K,0.14%
16-Jan-20,70.978,70.775,71.007,70.775,6.30K,0.36%
15-Jan-20,70.72,71,71.023,70.682,5.32K,-0.18%
14-Jan-20,70.85,70.72,70.975,70.72,6.81K,0.20%
13-Jan-20,70.71,70.805,70.945,70.71,6.16K,-0.35%
10-Jan-20,70.96,71.24,71.26,70.848,7.39K,-0.35%
9-Jan-20,71.21,71.51,71.544,71.134,7.00K,-0.42%
8-Jan-20,71.51,71.954,72.114,71.466,7.40K,-0.47%
7-Jan-20,71.845,71.765,71.923,71.67,6.69K,-0.03%
6-Jan-20,71.867,72.011,72.123,71.834,7.44K,0.14%
3-Jan-20,71.77,71.61,71.844,71.52,7.49K,0.59%
2-Jan-20,71.35,71.235,71.408,71.235,4.63K,0.17%
1-Jan-20,71.228,71.365,71.377,71.225,1.16K,-0.18%
31-Dec-19,71.355,71.275,71.385,71.225,3.44K,0.05%
30-Dec-19,71.32,71.34,71.427,71.29,6.60K,-0.19%
27-Dec-19,71.455,71.305,71.505,71.185,4.64K,0.22%
26-Dec-19,71.3,71.26,71.353,71.23,3.37K,0.03%
25-Dec-19,71.28,71.28,71.28,71.28,0,0.00%
24-Dec-19,71.28,71.21,71.317,71.153,4.82K,0.08%
23-Dec-19,71.22,71.113,71.3,71.11,6.21K,0.23%
20-Dec-19,71.06,71.13,71.256,71.045,8.57K,-0.17%
19-Dec-19,71.18,70.993,71.214,70.88,6.89K,0.25%
18-Dec-19,71,71.01,71.125,70.924,6.95K,-0.05%
17-Dec-19,71.035,70.955,71.065,70.832,6.49K,0.17%
16-Dec-19,70.915,70.755,71.05,70.755,6.89K,0.17%
13-Dec-19,70.798,70.553,70.883,70.503,4.91K,0.32%
12-Dec-19,70.57,70.67,70.91,70.531,5.39K,-0.20%
11-Dec-19,70.71,70.823,70.942,70.71,8.39K,-0.14%
10-Dec-19,70.81,70.962,71.043,70.808,4.77K,-0.23%
9-Dec-19,70.97,71.3,71.3,70.97,4.37K,-0.44%
6-Dec-19,71.283,71.245,71.446,71.174,2.02K,0.04%
5-Dec-19,71.252,71.505,71.677,71.18,2.29K,-0.31%
4-Dec-19,71.474,71.803,71.823,71.452,1.74K,-0.37%
3-Dec-19,71.74,71.63,71.816,71.532,1.75K,0.15%
2-Dec-19,71.634,71.795,71.825,71.603,1.60K,-0.16%
29-Nov-19,71.749,71.613,71.872,71.603,1.66K,0.34%
28-Nov-19,71.505,71.245,71.665,71.235,1.47K,0.34%
27-Nov-19,71.26,71.45,71.493,71.233,1.70K,-0.31%
26-Nov-19,71.48,71.684,71.69,71.48,1.85K,-0.29%
25-Nov-19,71.689,71.695,71.763,71.61,3.84K,-0.14%
22-Nov-19,71.792,71.756,71.876,71.662,4.65K,0.06%
21-Nov-19,71.75,71.79,71.905,71.717,4.63K,0.01%
20-Nov-19,71.746,71.833,71.916,71.643,5.37K,-0.12%
19-Nov-19,71.83,71.92,72.015,71.605,6.86K,-0.16%
18-Nov-19,71.945,71.665,71.945,71.565,4.84K,0.41%
15-Nov-19,71.65,71.8,71.878,71.594,4.80K,-0.44%
14-Nov-19,71.966,72.082,72.252,71.857,7.14K,-0.26%
13-Nov-19,72.15,71.76,72.15,71.657,5.86K,0.50%
12-Nov-19,71.79,71.582,71.79,71.544,0.23K,0.31%
11-Nov-19,71.57,71.37,71.61,71.29,5.84K,0.29%
8-Nov-19,71.36,71.28,71.364,71.165,4.29K,0.44%
7-Nov-19,71.047,71.018,71.118,70.886,4.17K,0.05%
6-Nov-19,71.01,70.769,71.036,70.769,4.79K,0.33%
5-Nov-19,70.775,70.804,70.855,70.625,4.46K,-0.02%
4-Nov-19,70.789,70.552,70.802,70.552,4.11K,0.04%
1-Nov-19,70.76,70.972,70.99,70.76,4.05K,-0.31%
31-Oct-19,70.98,70.762,71.065,70.724,4.66K,0.04%
30-Oct-19,70.953,70.871,71.026,70.84,3.82K,0.09%
29-Oct-19,70.89,70.75,70.92,70.69,4.45K,0.20%
28-Oct-19,70.745,70.822,70.842,70.684,0.30K,-0.11%
25-Oct-19,70.82,71.045,71.073,70.782,4.24K,-0.20%
24-Oct-19,70.965,70.715,71.085,70.715,4.94K,0.34%
23-Oct-19,70.725,71.005,71.033,70.725,3.78K,-0.12%
22-Oct-19,70.809,70.912,71.007,70.809,4.77K,-0.16%
21-Oct-19,70.925,71.075,71.075,70.778,0.30K,-0.23%
18-Oct-19,71.09,71.2,71.32,71.04,1.82K,-0.06%
17-Oct-19,71.13,71.362,71.475,71.096,2.07K,-0.33%
16-Oct-19,71.364,71.562,71.733,71.348,6.22K,-0.19%
15-Oct-19,71.5,71.248,71.605,71.22,5.15K,0.37%
14-Oct-19,71.237,70.894,71.249,70.74,4.68K,0.44%
11-Oct-19,70.924,70.816,71.091,70.799,2.98K,-0.09%
10-Oct-19,70.99,70.96,71.165,70.96,4.66K,-0.18%
9-Oct-19,71.12,71.18,71.23,70.945,4.49K,-0.14%
8-Oct-19,71.22,70.996,71.233,70.933,0.28K,0.35%
7-Oct-19,70.975,70.959,71.106,70.913,4.33K,0.21%
4-Oct-19,70.825,70.81,71.04,70.765,5.31K,-0.29%
3-Oct-19,71.03,71.21,71.37,70.865,5.21K,-0.17%
2-Oct-19,71.15,71.117,71.368,71.1,0.09K,0.06%
1-Oct-19,71.11,70.655,71.17,70.655,4.86K,0.66%
30-Sep-19,70.645,70.425,70.885,70.358,1.75K,0.19%
27-Sep-19,70.509,70.951,70.98,70.364,4.94K,-0.64%
26-Sep-19,70.964,71.035,71.036,70.837,5.94K,-0.03%
25-Sep-19,70.988,70.976,71.154,70.947,4.45K,0.02%
24-Sep-19,70.971,70.796,71.066,70.736,6.21K,0.24%
23-Sep-19,70.799,71.023,71.053,70.779,5.54K,-0.39%
20-Sep-19,71.075,71.205,71.205,70.685,5.84K,-0.42%
19-Sep-19,71.375,71.345,71.385,71.05,5.48K,0.32%
18-Sep-19,71.145,71.515,71.53,71.145,5.01K,-0.48%
17-Sep-19,71.49,71.827,71.99,71.366,5.18K,-0.13%
16-Sep-19,71.58,71.69,71.69,71.41,5.36K,0.84%
13-Sep-19,70.985,70.972,71.16,70.847,5.33K,0.03%
12-Sep-19,70.967,71.588,71.588,70.917,6.69K,-0.85%
11-Sep-19,71.577,71.877,71.897,71.514,5.05K,-0.41%
10-Sep-19,71.875,71.755,72.002,71.739,0.19K,0.14%
9-Sep-19,71.778,71.728,71.787,71.504,5.03K,0.19%
6-Sep-19,71.645,71.887,71.928,71.605,4.56K,-0.39%
5-Sep-19,71.928,71.986,72.011,71.797,5.65K,-0.08%
4-Sep-19,71.989,72.2,72.315,71.944,7.19K,-0.25%
3-Sep-19,72.17,71.96,72.412,71.96,5.43K,0.28%
2-Sep-19,71.969,71.467,72.003,71.467,0.31K,0.72%
30-Aug-19,71.453,71.772,71.817,71.357,4.97K,-0.33%
29-Aug-19,71.69,71.913,72.1,71.624,6.57K,-0.19%
28-Aug-19,71.829,71.564,71.904,71.492,2.74K,0.40%
27-Aug-19,71.543,72.03,72.03,71.383,3.40K,-0.67%
26-Aug-19,72.025,71.92,72.26,71.863,5.55K,0.72%
23-Aug-19,71.513,71.96,72.061,71.513,0,-0.58%
22-Aug-19,71.93,71.6,72.004,71.6,0,0.69%
21-Aug-19,71.439,71.562,71.623,71.353,0,-0.15%
20-Aug-19,71.549,71.523,71.827,71.523,0,0.14%
19-Aug-19,71.451,71.213,71.5,71.063,0,0.42%
16-Aug-19,71.155,71.365,71.492,71.045,0,-0.91%
15-Aug-19,71.81,71.507,71.829,71.309,0,0.75%
14-Aug-19,71.275,70.995,71.365,70.845,0,-0.20%
13-Aug-19,71.418,71.132,71.493,71.032,0,0.19%
12-Aug-19,71.283,71.014,71.367,70.993,0,0.51%
9-Aug-19,70.924,70.443,70.924,70.443,0,0.72%
